propertyValue,nodeIds,numNodes
37190.0,"['1157896993097900032', '20253024', '17423305']",3
37191.0,['1066236993569546240'],1
37192.0,['970436292038352896'],1
37193.0,['981199972929626112'],1
37194.0,['426549508'],1
37196.0,['1395958038'],1
37197.0,['975327527496572929'],1
37198.0,['1088919776179773441'],1
37199.0,['983880088625340417'],1
37200.0,['1137834553660399617'],1
37207.0,['1155167942281179136'],1
37209.0,['1236271228412932096'],1
37212.0,"['929472309823451136', '1563332426']",2
37213.0,"['93888820', '716576919328841728', '3000899225']",3
37214.0,['1487554567197888522'],1
37217.0,['1010195506381893633'],1
37218.0,['976158591982940161'],1
37220.0,['1186705535485259778'],1
37223.0,['1324844498422169600'],1
37224.0,['1324189406119428096'],1
37225.0,['1375594305243414528'],1
37227.0,['1583915390'],1
37229.0,['452501913'],1
37230.0,['743063078481186816'],1
37232.0,['1526451479703212032'],1
37235.0,['1500702221977014272'],1
37236.0,['1555109057890897920'],1
37239.0,['238068135'],1
37242.0,['1440732995267166211'],1
37244.0,['1563389580086104065'],1
37245.0,['77898167'],1
37246.0,['3307512258'],1
37247.0,['1542035035284463616'],1
37249.0,['2308743625'],1
37250.0,['1295896510526304262'],1
37253.0,['1430362982077190146'],1
37254.0,"['244359625', '12896972', '44388921', '15030787', '24238334', '4579901']",6
37255.0,"['52994513', '43834966']",2
37258.0,['591962590'],1
37260.0,['132948453'],1
37262.0,"['870577779187875840', '1474813693473046531']",2
37263.0,"['1158193640', '69558002']",2
37265.0,['1066429349010833408'],1
37267.0,['1552410105664208896'],1
37268.0,['1574806899823968256'],1
37269.0,['122462702'],1
37270.0,['1589324890548699136'],1
37271.0,['2711134713'],1
37272.0,['1591222730564796417'],1
37273.0,['858325041993449473'],1
37274.0,['755900335881945089'],1
37276.0,['822288792669356033'],1
37279.0,['2865799699'],1
37280.0,['208183828'],1
37282.0,['1241098388164280322'],1
37283.0,['1585257661209214978'],1
37285.0,['1577630385822990338'],1
37287.0,"['741269411533836288', '1480222798983446531']",2
37289.0,['1430845150385819648'],1
37290.0,['56926749'],1
37291.0,['1526980917885030400'],1
37293.0,['3489178152'],1
37295.0,['1419053438470606849'],1
37296.0,['1459257667403272193'],1
37297.0,['1506940414456123393'],1
37298.0,['147628605'],1
37300.0,"['1496696294953340930', '1474065465790156804']",2
37303.0,['1573416759285063680'],1
37308.0,"['1512515793912745987', '1518751914820833282']",2
37309.0,['1537880072371118081'],1
37310.0,['1425857380294664193'],1
37311.0,['1360929529141731329'],1
37312.0,['741122671'],1
37313.0,"['14983792', '406751527']",2
37314.0,['2169021042'],1
37316.0,['1596605653879062534'],1
37317.0,['1490370751945396228'],1
37318.0,['577806974'],1
37320.0,['3403981444'],1
37321.0,['424714884'],1
37322.0,['254845580'],1
37326.0,['1420068304346042373'],1
37327.0,['313565854'],1
37329.0,['3225985701'],1
37330.0,['87335603'],1
37331.0,['2882577077'],1
37332.0,"['497590972', '2975196418']",2
37333.0,['1502896377638105091'],1
37334.0,['934462943017799680'],1
37335.0,['138453700'],1
37338.0,['1463394148363476992'],1
37339.0,['1345694293621678080'],1
37340.0,"['1437452544285024256', '164970978']",2
37342.0,['1489538038422249472'],1
37344.0,['1400470701807706112'],1
37346.0,['619225813'],1
37347.0,['1500399241109381120'],1
37349.0,['1450156504733077512'],1
37351.0,['181969639'],1
37352.0,['734103993413214209'],1
37353.0,['260088562'],1
37355.0,"['845980405', '14352556']",2
37357.0,['2464981769'],1
37358.0,['1578371217073098752'],1
37360.0,['400335636'],1
37365.0,['1010082600'],1
37366.0,['1389231233834622980'],1
37367.0,['1588025231381516289'],1
37373.0,['1007579844236853248'],1
37374.0,"['1288199029654863872', '907389979042521089']",2
37375.0,['1673569092'],1
37378.0,['1563322396802961410'],1
37380.0,"['1672520534', '970512650286391303']",2
37381.0,['1554530527570534400'],1
37384.0,"['14984030', '61520728']",2
37386.0,['1074832225'],1
37388.0,['1427391339386314758'],1
37391.0,['471638904'],1
37396.0,['197436318'],1
37398.0,['2321327023'],1
37400.0,['50635701'],1
37401.0,['1032584328306409472'],1
37405.0,['1031006545495113729'],1
37406.0,['726455963096629249'],1
37407.0,['1588110289'],1
37408.0,['294429661'],1
37409.0,['64791519'],1
37410.0,['1182597624513347586'],1
37411.0,['1463161994463252480'],1
37412.0,['1308778431056809984'],1
37413.0,['1503521696380194816'],1
37415.0,"['139696900', '46800814']",2
37416.0,['148085509'],1
37417.0,['507552761'],1
37418.0,"['2247664636', '1509195856632811520']",2
37419.0,['775988220'],1
37422.0,"['2902500373', '492179586']",2
37423.0,"['1114236827190190080', '1378333584201818113']",2
37424.0,['1596451522174279680'],1
37427.0,['1552738236241305600'],1
37428.0,['1216598772286775296'],1
37429.0,['1274392891603836928'],1
37431.0,"['1387853917761855489', '1414859866200489987']",2
37432.0,['1581100819700539393'],1
37434.0,['1383496429969104897'],1
37435.0,['1444675434218545153'],1
37436.0,"['219194428', '451796957']",2
37439.0,['63743049'],1
37442.0,['439133266'],1
37443.0,['1623237721'],1
37445.0,['904736254344007680'],1
37447.0,['1180284344226779136'],1
37448.0,['1292816993339543552'],1
37449.0,['1310664273329360896'],1
37450.0,['1047116358041964544'],1
37452.0,['346596462'],1
37453.0,['1572504323594096640'],1
37454.0,['907669749487865856'],1
37455.0,['1598858366'],1
37456.0,['1436586079675506692'],1
37457.0,['950143100374192129'],1
37458.0,['1544192877894537217'],1
37459.0,['1012314228110364673'],1
37461.0,['896061630244687873'],1
37462.0,['1590856493900992513'],1
37464.0,"['955440917837746177', '1241490660953391106']",2
37465.0,['1580243487173349377'],1
37466.0,['389325971'],1
37469.0,['1578470478359977984'],1
37470.0,"['1377596006829809664', '1333951908013334528']",2
37471.0,['1494748950636683264'],1
37473.0,['1547104744245714944'],1
37474.0,['1597587502080090112'],1
37477.0,['1553022287640682496'],1
37478.0,"['1518877817865396224', '89493628']",2
37479.0,['1263222263756853251'],1
37481.0,['1388929873620656129'],1
37488.0,['1377036883423813633'],1
37489.0,"['358917312', '214306413']",2
37490.0,['1112581316'],1
37491.0,['2504828107'],1
37492.0,['1571874419663933444'],1
37493.0,['261399758'],1
37494.0,['1540540789213782018'],1
37495.0,['1369372928748445698'],1
37498.0,['1529877279576317954'],1
37499.0,['1373499680965943298'],1
37501.0,['1463888738199691267'],1
37502.0,['32285930'],1
37504.0,['56927476'],1
37506.0,['1412541051529748484'],1
37508.0,['711562126708441088'],1
37511.0,"['37791001', '12137172']",2
37513.0,"['189834523', '1511720043276558337', '986931391941275651']",3
37514.0,['1573307122137370625'],1
37515.0,['44606764'],1
37518.0,['1563557451768942593'],1
37520.0,['1597562886280339462'],1
37521.0,"['71083322', '1426007779781844992']",2
37523.0,['1574524820485726215'],1
37524.0,['127968593'],1
37525.0,['1337772039910928384'],1
37527.0,['1473573674808717312'],1
37530.0,['346334551'],1
37531.0,['1891149151'],1
37533.0,['1426182056745316353'],1
37534.0,['3005785460'],1
37536.0,['293905787'],1
37538.0,"['1394387155271757826', '1452600259859947529']",2
37543.0,['1249647503504441344'],1
37544.0,['1582295770274856960'],1
37546.0,['1538139091245596672'],1
37547.0,['961401815525883904'],1
37548.0,['997774804513062912'],1
37549.0,['1298763173248499712'],1
37551.0,['993830288'],1
37552.0,['158639510'],1
37554.0,['1469779952744738819'],1
37556.0,['1579328831831277569'],1
37557.0,['1260483564526764033'],1
37559.0,['1578589674670522369'],1
37560.0,['1574287536389750785'],1
37561.0,['1580276266451730433'],1
37562.0,['69772709'],1
37563.0,['1582186455035674625'],1
37566.0,['1597195539925372928'],1
37567.0,['1579488482631634947'],1
37569.0,['1421210705383075844'],1
37571.0,['941769642959306754'],1
37575.0,['1573718785814560770'],1
37576.0,['1596326038203662338'],1
37577.0,['157066687'],1
37578.0,['343713219'],1
37579.0,['61384132'],1
37581.0,['2324997597'],1
37582.0,"['895692269319225348', '777947327382298624']",2
37583.0,['1572641923696820228'],1
37586.0,"['16819713', '347511155']",2
37587.0,['1017685506'],1
37591.0,"['357606935', '1287914389027213312']",2
37592.0,['853887912202600454'],1
37593.0,['1506606112421912579'],1
37595.0,['1018720288526225408'],1
37596.0,['1043323455167451136'],1
37599.0,['1082583643577569280'],1
37600.0,['995000503242248192'],1
37601.0,['996412389183639552'],1
37602.0,"['160998977', '1922412703', '20560294']",3
37603.0,['1119770242446708736'],1
37606.0,['1206429271'],1
37607.0,['265070180'],1
37608.0,['75802217'],1
37610.0,"['916349221455974402', '1024984621270872065']",2
37611.0,['856689124731887616'],1
37613.0,"['1389314308820017152', '219285628']",2
37615.0,['30975606'],1
37616.0,['553952886'],1
37617.0,['745842302'],1
37618.0,['1314868080263143425'],1
37620.0,"['2275452561', '1472587273183141900']",2
37627.0,['1216113077281648640'],1
37628.0,['1553211926334697472'],1
37630.0,['234661557'],1
37631.0,"['4846298811', '23232204']",2
37634.0,['1030826345591238657'],1
37635.0,"['1205226529455632385', '828010834978709504']",2
37638.0,"['3275269842', '1318816167029477378']",2
37639.0,['1494506141958565890'],1
37640.0,['1403244381583417344'],1
37642.0,['1555899001073016832'],1
37643.0,['1027657727953313792'],1
37644.0,['1534637420993552384'],1
37648.0,['1579682640172654592'],1
37649.0,['1024240414407237632'],1
37650.0,['349480696'],1
37651.0,"['1287431928', '16140591']",2
37652.0,['385394436'],1
37653.0,"['888043692715646977', '1318501536']",2
37654.0,['1568248262557147137'],1
37655.0,['1423488568736063489'],1
37656.0,['1574808657598062593'],1
37657.0,['1594666179045597185'],1
37659.0,['1543094583806300160'],1
37661.0,['1589017795077054465'],1
37663.0,['2213062418'],1
37665.0,['1397582054003548162'],1
37666.0,['784404098858774528'],1
37670.0,"['4749829933', '2541134946']",2
37671.0,['323528497'],1
37672.0,['1471604705637933059'],1
37673.0,['1451326574016569347'],1
37675.0,['1574744885118345219'],1
37677.0,"['2383980348', '1342543771']",2
37678.0,['36742977'],1
37679.0,"['27305797', '306809093']",2
37681.0,"['18392906', '373930538']",2
37683.0,['1557300543105613824'],1
37686.0,['1597767333338128389'],1
37687.0,['1335427586697019393'],1
37689.0,['1510680566668173318'],1
37690.0,['919239607564189698'],1
37692.0,['1180171994462949376'],1
37694.0,['1559870099489558528'],1
37695.0,"['1295889158620057600', '30195372']",2
37698.0,['1509980360028954631'],1
37700.0,['151562143'],1
37702.0,['1145172735464574977'],1
37703.0,['913773508039020545'],1
37704.0,['2251073449'],1
37706.0,['4175472569'],1
37708.0,['327985101'],1
37710.0,['1280176963634806784'],1
37711.0,['1066117214431035392'],1
37712.0,['353937367'],1
37713.0,['1271883607003578368'],1
37714.0,['455649240'],1
37715.0,"['1034144991130656768', '1060224761727463426']",2
37718.0,['164931582'],1
37722.0,['138192922'],1
37723.0,['1597624825065140224'],1
37724.0,['1549564636823187456'],1
37725.0,['263759908'],1
37731.0,['1438026401492373506'],1
37732.0,['1338196536916840450'],1
37733.0,['1051179036569821184'],1
37734.0,['1208507208884871168'],1
37735.0,['1122170146204737536'],1
37736.0,['1211124083066200064'],1
37742.0,['1412583458149371907'],1
37748.0,['84191376'],1
37749.0,['3142625432'],1
37750.0,"['22587550', '511050951']",2
37752.0,['1395435703'],1
37753.0,['1054124216'],1
37754.0,['2312939710'],1
37757.0,['918206790545891328'],1
37758.0,['1346329074508161024'],1
37759.0,['1062948877416980480'],1
37761.0,['938030078419722241'],1
37764.0,['2332076251'],1
37765.0,['2850334944'],1
37766.0,"['30189793', '879014015934099456']",2
37767.0,['462727397'],1
37768.0,['1410633668033335298'],1
37770.0,['1523385823277723648'],1
37771.0,['1045013697289105408'],1
37772.0,['259303678'],1
37774.0,['1573284774793580544'],1
37775.0,['1098889996025573377'],1
37776.0,['4072974620'],1
37777.0,['2393155896'],1
37778.0,['2281482554'],1
37779.0,['1903208762'],1
37780.0,"['38578497', '261010931']",2
37781.0,"['2348853575', '2767054761']",2
37782.0,['15247690'],1
37787.0,['84453734'],1
37788.0,['381462893'],1
37790.0,['1208561588623618048'],1
37793.0,['1307702594131963904'],1
37794.0,['178039154'],1
37795.0,['1425941984544534528'],1
37796.0,['183806326'],1
37798.0,['1265468802831200256'],1
37799.0,['629713274'],1
37801.0,['421308797'],1
37802.0,"['20752767', '20764565']",2
37806.0,['1490630538104877056'],1
37807.0,['1515798415501897728'],1
37808.0,"['1459149203335229441', '306808708']",2
37809.0,['1499457705483907073'],1
37810.0,['1358258764097466369'],1
37811.0,['1450181890502242305'],1
37814.0,['1447410794245861378'],1
37815.0,['48015757'],1
37817.0,"['1518711699209138177', '127040659']",2
37819.0,['1453280843355598851'],1
37821.0,['1501313430007001091'],1
37824.0,['1514735405064728579'],1
37829.0,['1479090558534627332'],1
37830.0,['1458442606875193349'],1
37831.0,['1508953494203609092'],1
37832.0,['1360730619135864837'],1
37833.0,['1479633939123875846'],1
37835.0,['1380443404321107974'],1
37837.0,['1489083360098070534'],1
37838.0,['1414285936419090439'],1
37843.0,['1514943926658084872'],1
37844.0,['1505019993888600072'],1
37846.0,['1325912730826649608'],1
37848.0,['1490749283481628681'],1
37849.0,['1509882140330242057'],1
37850.0,['1429234840969359369'],1
37851.0,['1509983717011435529'],1
37853.0,['1340040669147115530'],1
37857.0,"['1377962392060112906', '1267105513248096257']",2
37858.0,['1457674831130996747'],1
37861.0,['1467896251622567947'],1
37862.0,['1427380163906580491'],1
37864.0,"['1516514747042181131', '949691886280888320']",2
37866.0,"['1265517968932450307', '1483437453407289345']",2
37867.0,['44607937'],1
37868.0,['1516220464338776077'],1
37869.0,['1481328713572757517'],1
37870.0,['1425673570831806467'],1
37871.0,['1044163004'],1
37872.0,['555264454'],1
37873.0,['1507352847620452366'],1
37878.0,['1466435984191598607'],1
37881.0,['1472922044866056192'],1
37883.0,['1574173299340300288'],1
37886.0,['254585322'],1
37887.0,['952412653'],1
37888.0,['30976496'],1
37889.0,['1439747487154130945'],1
37892.0,['1626647052'],1
37893.0,['928054175006466048'],1
37896.0,['1578412592'],1
37897.0,['244099656'],1
37899.0,['1198285552107343872'],1
37901.0,"['821280049320120320', '2985470549']",2
37902.0,['922217363428298752'],1
37903.0,['118794845'],1
37904.0,['844158175901339648'],1
37905.0,['256158299'],1
37907.0,['1150871799661547520'],1
37910.0,['2588191344'],1
37911.0,"['805750066053074945', '1221966782925176833']",2
37913.0,['1318682888976683009'],1
37914.0,['1020377600806572033'],1
37915.0,['978327829795524609'],1
37918.0,"['14461561', '765102806']",2
37920.0,['190884488'],1
37924.0,['1586844554895958016'],1
37927.0,['1579669729618305024'],1
37928.0,"['482388629', '93442993']",2
37930.0,['115911319'],1
37933.0,['1561043459863379968'],1
37934.0,"['1541914584990228481', '1539357985708859393']",2
37935.0,['89696936'],1
37937.0,"['47753898', '1935091', '26858764', '14053086']",4
37938.0,['315927210'],1
37939.0,['1573816058292609025'],1
37940.0,['1533347652900888577'],1
37943.0,['2732370615'],1
37945.0,['917809855'],1
37949.0,['1300208426975293440'],1
37950.0,['1212371718213267456'],1
37951.0,['997497851247652864'],1
37952.0,"['1133248942701867008', '452882777']",2
37953.0,['95988423'],1
37954.0,['1074291756173160448'],1
37955.0,"['2344135374', '1190367802340921344']",2
37956.0,['1355952613179740165'],1
37961.0,"['2676796130', '1459650208200024066']",2
37962.0,['90483435'],1
37964.0,"['3059002115', '391786443']",2
37968.0,['1421773840288387075'],1
37970.0,['2683087661'],1
37971.0,['824967068521000960'],1
37972.0,['4861504334'],1
37973.0,['413182801'],1
37974.0,['3280251734'],1
37976.0,"['267955046', '277930075']",2
37977.0,['1372205389475934210'],1
37979.0,['588557179'],1
37981.0,['201894787'],1
37982.0,"['16034692', '26310576']",2
37983.0,['315665285'],1
37987.0,['1465256688483966976'],1
37988.0,['1574319058782396416'],1
37990.0,['1562829232333791233'],1
37992.0,['1572383660'],1
37993.0,['1006414772'],1
37994.0,['159951797'],1
37997.0,['515943358'],1
37998.0,['866167746'],1
38000.0,['233352172'],1
38001.0,"['1404087277', '164178673']",2
38002.0,['1371057138'],1
38004.0,['1575416615109378048'],1
38005.0,['1559290314556424192'],1
38007.0,['1589876864025346048'],1
38008.0,['1520560647486029824'],1
38009.0,['1528097995115446272'],1
38010.0,['1565706055904116736'],1
38011.0,['1523047384426725376'],1
38012.0,['1575218344923480064'],1
38013.0,['281324548'],1
38016.0,['1538884508321300481'],1
38017.0,['1571443362607120385'],1
38018.0,['1565679587631284225'],1
38022.0,['1569170381893779457'],1
38023.0,['1581247118039302145'],1
38024.0,['1565522939252035584'],1
38025.0,"['386706459', '1527060288339685377']",2
38026.0,['1582800118889299970'],1
38027.0,['1534599086590115842'],1
38028.0,['1174474528489115648'],1
38029.0,['727759996822392832'],1
38030.0,['1156602639678869504'],1
38031.0,['937951075977564160'],1
38032.0,['1169081935592853504'],1
38035.0,['114076721'],1
38036.0,['366259250'],1
38038.0,"['250653751', '1151397138116554754']",2
38040.0,['982966600558088193'],1
38042.0,['1283179782457430017'],1
38044.0,['1287782761185579009'],1
38045.0,['950407804254326785'],1
38046.0,['1163249548246028289'],1
38051.0,['1576633495040016388'],1
38053.0,['932418843493961730'],1
38054.0,['1075024015826259970'],1
38056.0,['467709020'],1
38058.0,['961592591656587266'],1
38062.0,['1508485083061272581'],1
38063.0,['145796216'],1
38064.0,['529050747'],1
38066.0,['1405443731852083206'],1
38067.0,['1244441742'],1
38068.0,['788477381728022528'],1
38069.0,"['963265965122138112', '1279544506119905281']",2
38071.0,['1523212966568595456'],1
38072.0,['43822243'],1
38074.0,['71347379'],1
38075.0,"['3027807413', '732854166']",2
38077.0,['190622905'],1
38080.0,"['252751061', '1298247034839932929']",2
38083.0,"['781723897427353600', '1021983914']",2
38084.0,['1132506609190658048'],1
38085.0,['897427964350128128'],1
38086.0,['1310384831533113344'],1
38087.0,['517778657'],1
38089.0,['2620173544'],1
38095.0,['1264235533833822210'],1
38096.0,['48803099'],1
38097.0,['4063800612'],1
38098.0,['526953767'],1
38101.0,['1574269319101714432'],1
38102.0,"['3302010163', '1449311812747472896']",2
38104.0,['1077908972022071296'],1
38105.0,['719559718662897664'],1
38106.0,"['1174050530479374336', '746891234598330372']",2
38108.0,['209759566'],1
38110.0,['54832478'],1
38111.0,['1186508138'],1
38112.0,['159690106'],1
38114.0,['3100159362'],1
38115.0,['151301516'],1
38118.0,['529575331'],1
38119.0,['136621489'],1
38120.0,['3302796739'],1
38121.0,['52997573'],1
38122.0,['825603711284215808'],1
38124.0,['797127932619718656'],1
38126.0,['1707388364'],1
38127.0,"['2401545685', '1519012505103654912']",2
38130.0,['2496703980'],1
38132.0,['3051138556'],1
38133.0,['2233773569'],1
38134.0,['396668430'],1
38136.0,['1468472819885682688'],1
38138.0,['210021917'],1
38139.0,['335064607'],1
38140.0,['3217862182'],1
38142.0,['55881259'],1
38143.0,['1573526370789240833'],1
38145.0,['728225681654456320'],1
38147.0,['519060498'],1
38150.0,['1873849963'],1
38152.0,['702328441'],1
38154.0,['1254148160840257536'],1
38155.0,"['1529541255016992768', '1088496306069360645']",2
38156.0,['1007723123205197824'],1
38159.0,['1200436441492475904'],1
38161.0,['1043616870883119104'],1
38162.0,['943431871299571712'],1
38163.0,"['192982672', '1118011251123281920']",2
38164.0,['1387180816900542465'],1
38165.0,['1234101358036504577'],1
38166.0,['1573656409228693505'],1
38170.0,['1511249551675609089'],1
38171.0,['1574497128407355393'],1
38172.0,['1573175528584105985'],1
38173.0,['1573375528568082433'],1
38174.0,['211332777'],1
38176.0,['1471529960678608898'],1
38177.0,['1181528750577590272'],1
38179.0,['1011987803197132802'],1
38180.0,['1287723227062640640'],1
38181.0,['1297654320490520576'],1
38183.0,['1586046642821779458'],1
38184.0,['1509802736107376642'],1
38185.0,['1304793846237274112'],1
38186.0,['822128324'],1
38188.0,['1455500664109518851'],1
38189.0,['1222042686380744705'],1
38195.0,['3980439254'],1
38196.0,['895528664'],1
38199.0,['54570719'],1
38200.0,['1404655383118073860'],1
38204.0,['1391426608163180549'],1
38206.0,['65056510'],1
38208.0,['2794761985'],1
38209.0,['3710955267'],1
38211.0,['4895321859'],1
38213.0,"['9481992', '493482998']",2
38214.0,['1525405184003919873'],1
38215.0,['2157227792'],1
38216.0,['1489978707603189762'],1
38217.0,['1266255536997101570'],1
38218.0,['1444381256611938304'],1
38219.0,['3325865763'],1
38220.0,['3303845667'],1
38223.0,['4104171309'],1
38225.0,['401911601'],1
38226.0,['67940156'],1
38228.0,['1195683680'],1
38229.0,['931482437678493696'],1
38231.0,['955950051125325824'],1
38232.0,"['794944215621005312', '1579179754254929921']",2
38234.0,['809836873791270912'],1
38235.0,['1012013557393879040'],1
38239.0,['615559032'],1
38240.0,"['903345674472878081', '7152572']",2
38244.0,['1111037287478030337'],1
38245.0,['120893310'],1
38247.0,"['1034469513385963521', '906256501031010305']",2
38250.0,['1330595036933877762'],1
38251.0,['1060089687749128194'],1
38253.0,"['1565287281677713408', '2333988375']",2
38254.0,['1417695266841444352'],1
38259.0,['1557455390828281856'],1
38260.0,['1392740611887874048'],1
38262.0,['753501264881848320'],1
38263.0,['1394700548184723468'],1
38264.0,['1299468211717632003'],1
38265.0,['951044139226984451'],1
38268.0,['1554112062388846593'],1
38275.0,['2303242169'],1
38278.0,['14725057'],1
38279.0,['1361746511235870724'],1
38282.0,['398241738'],1
38283.0,['1583474817155534848'],1
38284.0,['1597784716714774528'],1
38286.0,['28356559'],1
38288.0,"['2439032786', '1434944649307766790']",2
38289.0,"['1915006932', '20594268']",2
38290.0,['164409312'],1
38291.0,['1575083459176972291'],1
38292.0,['1579006834760892419'],1
38293.0,['1486613319905513473'],1
38295.0,['1414007220031864835'],1
38297.0,['167817195'],1
38298.0,"['397455346', '21032522']",2
38302.0,"['1075449928539926534', '297589798', '371846659']",3
38305.0,['1116516349'],1
38307.0,['1562630285027487744'],1
38308.0,['1251454178771206144'],1
38309.0,['1540608994758144000'],1
38312.0,['711617331672166400'],1
38315.0,['1544402484625453059'],1
38316.0,['1568602293515190272'],1
38320.0,['1580969594675658753'],1
38321.0,"['1274860755729383426', '1299374968711639041', '770710609071632384']",3
38323.0,['1269201944670765058'],1
38325.0,['1585682586424180738'],1
38328.0,['1532038521803898883'],1
38329.0,['1577596987427389444'],1
38330.0,['972959105668218884'],1
38331.0,['1587951595391680515'],1
38332.0,['1527366955253936148'],1
38333.0,['1577654451002802181'],1
38334.0,"['1278084440598642693', '2237974201']",2
38337.0,['1559171314669191173'],1
38339.0,['1577331822991638534'],1
38340.0,['1548780375199055878'],1
38343.0,['1301542227114590215'],1
38344.0,['1309958268010233863'],1
38345.0,['1572304814381334534'],1
38346.0,['1592727661436076039'],1
38347.0,['1572970957106446342'],1
38348.0,['1597640715705647112'],1
38350.0,['1250389392667049991'],1
38356.0,['1573105814398697480'],1
38357.0,['1582099512037867529'],1
38359.0,['1573463639918510090'],1
38360.0,['1574923768224415754'],1
38362.0,['1575935771311210506'],1
38366.0,['1580984425843654666'],1
38367.0,['2202841148'],1
38368.0,['1585355582931861516'],1
38369.0,['1593224288739393548'],1
38371.0,"['743223366', '15052455']",2
38373.0,['1572876751792967680'],1
38376.0,['62173262'],1
38377.0,['769197531079315456'],1
38378.0,['1583633426518839296'],1
38379.0,['717171690816606208'],1
38380.0,['521711695'],1
38381.0,['14200914'],1
38383.0,['1535049414833733649'],1
38387.0,"['1542057716012748801', '234694571']",2
38391.0,['1578400285894053889'],1
38393.0,['1591124073177808916'],1
38395.0,['1429650585708597249'],1
38396.0,['1593418673863200770'],1
38398.0,['1544916609990594562'],1
38399.0,['1362365962251603970'],1
38400.0,"['52211840', '34481486']",2
38402.0,['1578094521857998873'],1
38403.0,['96776323'],1
38404.0,['130855043'],1
38405.0,['1360084239669202946'],1
38406.0,"['17346698', '836550443106992130']",2
38407.0,['104640653'],1
38408.0,['2787006760'],1
38410.0,['1513098440653553664'],1
38411.0,['1521967223849762816'],1
38412.0,['1479695792675950595'],1
38413.0,['14200987'],1
38416.0,['1563755253111341057'],1
38417.0,['1572264848070742020'],1
38418.0,['4169183419'],1
38420.0,['1569006631656034309'],1
38422.0,['1512456261048143877'],1
38424.0,['1597146270879125509'],1
38426.0,['1459641413549887493'],1
38427.0,['1550142381239873537'],1
38428.0,['1459184345277730821'],1
38431.0,"['746909375416020993', '1502610799457619968', '3349830358']",3
38432.0,['564441307'],1
38434.0,['1590788658692558854'],1
38435.0,['1515413810961649670'],1
38436.0,['1438425531385581574'],1
38437.0,['505983204'],1
38438.0,['1466502678566080519'],1
38440.0,['331395326'],1
38441.0,['1026263387339218944'],1
38442.0,['1132055798513917952'],1
38443.0,['931314346952744960'],1
38445.0,['2760421646'],1
38446.0,['1343677130664775688'],1
38447.0,['1006275288953774081'],1
38448.0,['3085480216'],1
38451.0,['946761642292981760'],1
38452.0,['1146804077726183424'],1
38458.0,"['1172774817789030400', '1167121352291229697', '803884805846863872']",3
38459.0,['961375978529402880'],1
38460.0,['1053246987653525504'],1
38461.0,['498381116'],1
38462.0,['960634892'],1
38466.0,['998161449464803329'],1
38467.0,['1250210732546895873'],1
38468.0,['1305234892431732737'],1
38469.0,['1283874589307744257'],1
38470.0,['1055334199757025281'],1
38471.0,['587772242'],1
38472.0,['1111102997449322497'],1
38473.0,['1392600693232570379'],1
38475.0,"['1333009233537761280', '19766284']",2
38478.0,['231780722'],1
38480.0,['1178785427488157699'],1
38484.0,['1289410668551196672'],1
38485.0,['497594771'],1
38486.0,['1428118176898842626'],1
38488.0,['1169352555618390016'],1
38489.0,['1066281895552372736'],1
38490.0,['815065580575150080'],1
38491.0,['1597783859793252352'],1
38492.0,['731286329028268032'],1
38493.0,['1213518875507052544'],1
38494.0,['246722977'],1
38496.0,['1373893500874280960'],1
38498.0,['107262382'],1
38501.0,"['1247590386672881665', '16879093']",2
38502.0,['1576126498477461505'],1
38503.0,['327987642'],1
38504.0,"['343192006', '508714721']",2
38505.0,['913615345650368513'],1
38506.0,['1462995989522907140'],1
38507.0,['634433999'],1
38508.0,['568635855'],1
38509.0,"['14987728', '16929108']",2
38510.0,['1179431383'],1
38511.0,['1259844765098618887'],1
38512.0,['1457688008556118021'],1
38513.0,"['1488942484226932741', '1479715470362116096']",2
38514.0,['1053121979514060800'],1
38515.0,['1573230081102807040'],1
38516.0,['1582200042991091712'],1
38517.0,['1542836427473518592'],1
38519.0,['807840877695696896'],1
38520.0,['887377714897977344'],1
38521.0,['1042082750700945408'],1
38522.0,['1588050721261453312'],1
38523.0,['1031709038881505280'],1
38524.0,['180400623'],1
38526.0,['1555932672890994689'],1
38528.0,['1587496631557128193'],1
38529.0,['1595139128575885313'],1
38531.0,['1094963712509837313'],1
38532.0,['1572521233794695169'],1
38534.0,['1367388686'],1
38535.0,['858042895'],1
38536.0,['1543025173'],1
38537.0,['1591526680975343618'],1
38540.0,['1587451579766112258'],1
38542.0,"['193507878', '911306494536224768']",2
38543.0,['2184491562'],1
38546.0,['1595619059734904832'],1
38547.0,['1462596053279068161'],1
38549.0,['4392530488'],1
38550.0,"['6861372', '5552492']",2
38551.0,['1545652556864655360'],1
38556.0,['2437722698'],1
38558.0,['103694351'],1
38562.0,['1478821055401709570'],1
38564.0,['1485930575701626883'],1
38567.0,['788772326691119105'],1
38571.0,['1418345608528601090'],1
38572.0,"['1466751005035405314', '778030061312237568', '1041425101441327105']",3
38573.0,"['493400724', '1458168843847733251']",2
38575.0,['1578114240333971464'],1
38576.0,['91271855'],1
38578.0,['1450405297688748036'],1
38579.0,"['2637476531', '2530535551']",2
38583.0,"['16560827', '1046249197257646085']",2
38586.0,['1581179698867937285'],1
38587.0,['118797004'],1
38589.0,['956347087'],1
38590.0,['1478572445888094208'],1
38593.0,['1391824494319259656'],1
38594.0,['1350782103965868033'],1
38597.0,['1517227084711665665'],1
38600.0,"['1344677401465397249', '211163593']",2
